divergence,length,pred_hw,n_doublings_neural,n_doublings_fixed30,n_doublings_fixed100,t_neural_ms,t_fixed30_ms,t_fixed100_ms,speedup_vs_30,speedup_vs_100,score_neural,score_fixed100,score_match
0.05,880,8,0,0,0,1.3688999897567555,5.316700000548735,13.692099993932061,3.8839214262054877,10.002264662420705,792.0,792.0,True
0.05,390,6,0,0,0,0.377499993192032,2.062999992631376,5.5477999994764104,5.464900741288067,14.696159204046072,352.0,352.0,True
0.05,516,7,0,0,0,0.45930000487715006,2.689999993890524,7.578299992019311,5.856738439639303,16.49967322348776,466.0,466.0,True
0.05,542,7,0,0,0,0.4625000001396984,2.8107000107411295,8.000400004675612,6.077189210577634,17.298162167046673,488.0,488.0,True
0.05,949,7,0,0,0,0.7324000034714118,4.144899998209439,11.351599998306483,5.659339129660763,15.49918069975757,855.0,855.0,True
0.05,881,7,0,0,0,0.6036999984644353,3.562400001101196,10.563800009549595,5.900944194405296,17.49842643104118,793.0,793.0,True
0.05,632,7,0,0,0,0.5632000102195889,3.3287999976892024,9.777900006156415,5.910511252283749,17.361327820899827,570.0,570.0,True
0.05,693,7,0,0,0,0.593400007346645,3.5026000114157796,11.608800006797537,5.902595160181174,19.563194915863985,625.0,625.0,True
0.05,456,7,0,0,0,0.35570000181905925,1.9591000018408522,5.4327000107150525,5.507731211194723,15.273263938521453,412.0,412.0,True
0.05,272,6,0,0,0,0.22089999401941895,1.1766999959945679,2.8318999975454062,5.326844852205501,12.819828312428378,246.0,246.0,True
0.05,739,7,0,0,0,0.5665000062435865,3.809200003161095,11.458900000434369,6.7240952536251095,20.22753728886494,667.0,667.0,True
0.05,384,6,0,0,0,0.2865999995265156,2.001199987716973,5.517600002349354,6.982554051022691,19.251919090945,346.0,346.0,True
0.05,713,7,0,0,0,0.4394999996293336,2.8775999962817878,10.682699998142198,6.54744027009944,24.306484657910794,643.0,643.0,True
0.05,377,6,0,0,0,0.28279999969527125,1.937199995154515,5.08119999722112,6.850070711605121,17.96746818492335,341.0,341.0,True
0.05,818,7,0,0,0,0.4881000058958307,3.2990000036079437,9.729900004458614,6.75886081491261,19.93423455629941,738.0,738.0,True
0.05,240,6,0,0,0,0.2086000022245571,0.9743999980855733,2.4277000047732145,4.671140880605723,11.638063177774105,216.0,216.0,True
0.05,706,7,0,0,0,0.4287000047042966,2.8386999911163002,9.313100003055297,6.621646745897154,21.724049220571324,636.0,636.0,True
